mac_usr,avg_monthly_conections,[0:00-3:59](%),[4:00-7:59](%),[8:00-11:59](%),[12:00-15:59](%),[16:00-19:59](%),[20:00-23:59](%),diversidad,cant_conexiones
F8:E0:79:EC:61:33,135.0,0.0,10.3703703704,18.5185185185,22.2222222222,15.5555555556,18.5185185185,0.25,135
EC:59:E7:EF:95:16,125.0,0.0,4.8,22.4,29.6,24.8,14.4,0.25,1842
8C:BF:A6:2A:9D:ED,120.0,50.0,1.66666666667,37.5,35.8333333333,25.0,0.0,0.25,639
40:6F:2A:D5:37:2A,118.0,0.0,5.08474576271,17.7966101695,32.2033898305,26.2711864407,13.5593220339,0.25,1376
00:73:E0:64:86:A9,105.0,0.0,0.0,46.6666666667,48.5714285714,3.80952380952,0.952380952381,0.255341880342,312
A4:81:EE:04:6E:F8,104.0,0.0,3.84615384615,25.9615384615,25.0,23.0769230769,17.3076923077,0.25,1108
00:08:22:35:26:50,98.0,0.0,0.0,14.2857142857,31.6326530612,38.7755102041,15.306122449,0.25,98
40:6F:2A:0D:34:39,97.0,0.0,0.0,13.4020618557,26.8041237113,32.9896907216,26.8041237113,0.25,97
B0:79:94:FE:D9:AD,92.0,0.0,6.52173913043,21.7391304348,22.8260869565,21.7391304348,19.5652173913,0.25,379
8C:BF:A6:89:10:35,91.0,0.0,14.2857142857,34.0659340659,34.0659340659,17.5824175824,0.0,0.25,736
44:D4:E0:3E:4A:57,89.0,0.0,5.61797752809,28.0898876404,30.3370786517,20.2247191011,10.1123595506,0.25,471
C4:3A:BE:A5:42:3B,89.0,0.0,2.24719101124,39.3258426966,34.8314606742,22.4719101124,0.0,0.25,974
00:08:22:60:43:48,88.0,25.0,2.27272727273,37.5,40.9090909091,17.0454545455,2.27272727273,0.25,588
3C:74:37:68:2C:8D,87.0,0.0,2.29885057471,12.6436781609,29.8850574713,35.632183908,14.9425287356,0.25,279
D0:92:9E:CA:BC:A8,87.0,0.0,2.29885057471,32.183908046,50.5747126437,14.9425287356,0.0,0.25,1268
84:DB:AC:F0:64:08,87.0,13.3971291866,1.14942528736,16.091954023,31.0344827586,32.183908046,16.091954023,0.25,256
F8:84:F2:3E:E2:23,86.0,100.0,8.13953488372,9.3023255814,24.4186046512,27.9069767442,19.7674418605,0.25,155
BC:77:37:AE:1C:EE,84.0,100.0,7.14285714286,32.1428571429,35.7142857143,17.8571428571,4.7619047619,0.25,1195
90:72:40:83:31:05,82.0,0.0,0.0,18.2926829268,31.7073170732,19.512195122,30.487804878,0.308823529412,85
84:55:A5:DF:17:D1,80.0,0.0,3.75,25.0,28.75,22.5,16.25,0.254557885141,1097
10:2F:6B:37:36:07,79.0,0.0,0.0,48.1012658228,46.835443038,3.79746835443,1.26582278481,0.257645259939,436
EC:88:92:00:EC:94,77.0,100.0,7.79220779221,19.4805194805,24.6753246753,28.5714285714,14.2857142857,0.25,741
28:47:AA:E1:3E:97,77.0,0.0,0.0,28.5714285714,16.8831168831,22.0779220779,24.6753246753,0.25,105
D4:6E:5C:A3:8B:7D,76.0,0.0,6.57894736842,34.2105263158,32.8947368421,19.7368421053,6.57894736842,0.25,217
68:A0:F6:53:0F:35,72.0,0.0,6.94444444444,25.0,30.5555555556,16.6666666667,9.72222222222,0.25,90
70:AA:B2:00:B4:8C,72.0,0.0,13.8888888889,20.8333333333,36.1111111111,29.1666666667,0.0,0.25,72
84:8E:DF:F3:ED:E4,72.0,0.0,13.8888888889,19.4444444444,20.8333333333,11.1111111111,11.1111111111,0.25,172
40:40:A7:26:6F:F7,72.0,0.0,5.55555555556,23.6111111111,27.7777777778,23.6111111111,12.5,0.25,197
D0:22:BE:66:68:AD,71.0,50.0,2.81690140845,29.5774647887,26.7605633803,25.3521126761,9.85915492958,0.25,257
34:36:3B:79:24:74,70.0,0.0,0.0,40.0,37.1428571429,22.8571428571,0.0,0.25,138
00:EB:2D:CE:85:EC,70.0,0.0,0.0,27.1428571429,20.0,37.1428571429,15.7142857143,0.25,70
8C:BF:A6:2A:9C:F1,70.0,0.0,0.0,37.1428571429,35.7142857143,27.1428571429,0.0,0.25,281
4C:0B:3A:D1:D8:BC,70.0,0.0,0.0,34.2857142857,40.0,24.2857142857,1.42857142857,0.25,70
AC:FD:EC:D2:92:F6,68.0,0.0,1.47058823529,23.5294117647,30.8823529412,27.9411764706,16.1764705882,0.25,68
DC:37:14:30:82:04,67.0,0.0,0.0,14.9253731343,28.3582089552,29.8507462687,22.3880597015,0.25,131
04:1B:BA:9F:1B:FF,66.0,0.0,3.0303030303,48.4848484848,37.8787878788,10.6060606061,0.0,0.25,699
C8:D1:5E:9F:21:91,66.0,0.0,1.51515151515,31.8181818182,28.7878787879,33.3333333333,4.54545454545,0.25,171
E4:2D:02:C0:03:CC,66.0,0.0,0.0,21.2121212121,24.2424242424,39.3939393939,15.1515151515,0.263774104683,121
E4:CE:8F:D5:9A:99,66.0,50.0,0.0,33.3333333333,24.2424242424,42.4242424242,0.0,0.25,198
D4:93:98:8C:F6:34,65.0,0.0,10.7692307692,4.61538461538,13.8461538462,18.4615384615,43.0769230769,0.25,181
BC:B3:08:84:EF:35,65.0,100.0,0.0,3.07692307692,35.3846153846,18.4615384615,24.6153846154,0.25,93
20:55:31:4C:D4:8A,63.0,0.0,4.7619047619,38.0952380952,42.8571428571,11.1111111111,3.1746031746,0.25,666
94:B1:0A:A3:D1:97,62.0,100.0,8.06451612903,29.0322580645,24.1935483871,25.8064516129,6.45161290323,0.25,180
64:A3:CB:3E:5E:5B,62.0,0.0,0.0,14.5161290323,35.4838709677,24.1935483871,25.8064516129,0.25,62
34:BB:26:B8:E2:18,62.0,0.0,1.61290322581,41.935483871,35.4838709677,14.5161290323,1.61290322581,0.25,62
8C:3A:E3:58:1D:17,61.0,100.0,11.4754098361,22.9508196721,13.1147540984,19.6721311475,14.7540983607,0.25,89
94:EB:CD:00:B9:11,61.0,0.0,3.27868852459,29.5081967213,36.0655737705,21.3114754098,6.55737704918,0.25,827
18:3A:2D:C9:38:A2,61.0,0.0,0.0,22.9508196721,34.4262295082,31.1475409836,11.4754098361,0.25,61
00:07:AB:D3:CA:A2,60.0,0.0,0.0,21.6666666667,40.0,36.6666666667,1.66666666667,0.25,192
88:63:DF:4E:F6:EE,60.0,0.0,0.0,30.0,31.6666666667,33.3333333333,5.0,0.25,60
00:0C:E7:51:50:0B,60.0,0.0,11.6666666667,8.33333333333,11.6666666667,25.0,18.3333333333,0.25,115
AC:FD:EC:0B:8F:FF,59.0,80.0,0.0,8.47457627119,57.6271186441,32.2033898305,1.69491525424,0.25,59
88:30:8A:5D:B9:50,59.0,0.0,1.69491525424,23.7288135593,38.9830508475,22.0338983051,8.47457627119,0.25,169
E0:A3:AC:74:B8:DB,57.0,50.0,3.50877192982,22.8070175439,31.5789473684,22.8070175439,14.0350877193,0.25,166
C4:62:EA:F3:20:26,57.0,0.0,1.75438596491,28.0701754386,29.8245614035,28.0701754386,8.77192982456,0.256337135615,263
44:00:10:D0:E4:6B,57.0,100.0,0.0,45.6140350877,31.5789473684,22.8070175439,0.0,0.25,171
A8:9F:BA:5A:E4:D9,56.0,0.0,1.78571428571,44.6428571429,26.7857142857,23.2142857143,1.78571428571,0.254675081814,713
18:89:5B:DB:7D:F0,56.0,0.0,7.14285714286,28.5714285714,28.5714285714,17.8571428571,12.5,0.25,181
40:B8:37:E0:16:68,56.0,0.0,3.57142857143,26.7857142857,33.9285714286,19.6428571429,8.92857142857,0.25,248
C0:BD:D1:9A:07:F3,55.0,0.0,0.0,7.27272727273,30.9090909091,36.3636363636,25.4545454545,0.279761904762,56
BC:44:86:DE:65:16,55.0,0.0,7.27272727273,16.3636363636,23.6363636364,23.6363636364,23.6363636364,0.25,280
CC:52:AF:61:1E:72,55.0,0.0,21.8181818182,3.63636363636,1.81818181818,0.0,32.7272727273,0.25,88
E8:B4:C8:50:F7:3A,55.0,0.0,0.0,18.1818181818,21.8181818182,54.5454545455,5.45454545455,0.265576323988,107
D8:90:E8:B4:60:02,54.0,0.0,0.0,20.3703703704,37.037037037,33.3333333333,9.25925925926,0.25,54
F8:A9:D0:80:4D:60,54.0,0.0,0.0,29.6296296296,38.8888888889,25.9259259259,5.55555555556,0.25,298
6C:2F:2C:55:79:27,54.0,0.0,3.7037037037,29.6296296296,37.037037037,18.5185185185,7.40740740741,0.25,204
00:08:22:96:48:FE,53.0,0.0,3.77358490566,24.5283018868,18.8679245283,32.0754716981,16.9811320755,0.25,92
CC:FA:00:A2:67:D8,53.0,0.0,5.66037735849,41.5094339623,43.3962264151,9.43396226415,0.0,0.25,209
54:26:96:78:01:2C,53.0,0.0,0.0,16.9811320755,28.3018867925,30.1886792453,24.5283018868,0.266025641026,104
D4:F4:6F:2E:86:F3,52.0,0.0,0.0,3.84615384615,30.7692307692,44.2307692308,21.1538461538,0.25,52
50:2E:5C:38:53:F1,51.0,0.0,1.96078431373,25.4901960784,33.3333333333,23.5294117647,5.88235294118,0.25,94
70:14:A6:12:92:86,51.0,100.0,1.96078431373,25.4901960784,37.2549019608,35.2941176471,0.0,0.25,51
B4:52:7D:37:FC:22,51.0,0.0,0.0,1.96078431373,41.1764705882,27.4509803922,29.4117647059,0.25,51
