mac_usr,avg_monthly_conections,[0:00-3:59](%),[4:00-7:59](%),[8:00-11:59](%),[12:00-15:59](%),[16:00-19:59](%),[20:00-23:59](%),diversidad,cant_conexiones
5C:E8:EB:CB:9C:10,121.0,0.0,0.0,9.9173553719,33.8842975207,43.8016528926,12.3966942149,0.25,239
4C:3C:16:11:88:30,102.0,0.0,0.0,4.90196078431,27.4509803922,44.1176470588,23.5294117647,0.25,309
30:10:B3:08:A0:23,102.0,0.0,0.0,10.7843137255,34.3137254902,41.1764705882,13.7254901961,0.25,406
40:0E:85:15:56:6E,98.0,0.0,0.0,11.2244897959,25.5102040816,40.8163265306,22.4489795918,0.471893491124,338
84:63:D6:22:63:58,97.0,0.0,0.0,7.21649484536,14.4329896907,36.0824742268,40.206185567,0.25,545
9C:D9:17:4A:83:45,87.0,100.0,0.0,22.9885057471,49.4252873563,26.4367816092,1.14942528736,0.25,515
C8:A8:23:D5:CA:41,86.0,0.0,0.0,12.7906976744,36.0465116279,32.5581395349,18.6046511628,0.25,169
48:5A:3F:41:3D:05,86.0,0.0,0.0,6.97674418605,9.3023255814,54.6511627907,29.0697674419,0.260162601626,164
DC:F1:10:B8:D0:18,83.0,0.0,0.0,15.6626506024,32.5301204819,31.3253012048,20.4819277108,0.25,309
AC:36:13:18:56:F6,81.0,0.0,0.0,13.5802469136,38.2716049383,32.0987654321,16.049382716,0.426908752328,179
30:A8:DB:1C:5E:B0,79.0,0.0,0.0,1.26582278481,27.8481012658,44.3037974684,26.582278481,0.25,468
A8:7C:01:90:E7:7E,79.0,0.0,0.0,2.53164556962,6.32911392405,64.5569620253,26.582278481,0.25,154
40:B0:FA:DD:B2:1F,77.0,0.0,0.0,6.49350649351,37.6623376623,37.6623376623,18.1818181818,0.25,77
9C:D3:5B:D6:6E:63,76.0,0.0,0.0,2.63157894737,6.57894736842,61.8421052632,28.9473684211,0.25,144
D0:C1:B1:C1:82:23,75.0,0.0,0.0,6.66666666667,28.0,42.6666666667,22.6666666667,0.25,317
70:D4:F2:18:7D:7A,70.0,0.0,0.0,0.0,2.85714285714,61.4285714286,35.7142857143,0.25,70
3C:CB:7C:72:39:91,69.0,100.0,0.0,11.5942028986,60.8695652174,24.6376811594,2.89855072464,0.25,263
30:10:B3:29:F1:04,67.0,0.0,0.0,19.4029850746,19.4029850746,41.7910447761,19.4029850746,0.25,79
90:4C:E5:67:3D:16,60.0,0.0,0.0,30.0,68.3333333333,1.66666666667,0.0,0.25,60
C4:3A:BE:C0:EA:25,59.0,0.0,0.0,18.6440677966,42.3728813559,30.5084745763,8.47457627119,0.25,80
AC:36:13:00:E7:77,59.0,0.0,0.0,11.8644067797,35.593220339,37.2881355932,15.2542372881,0.25,59
64:B8:53:DC:34:63,59.0,0.0,0.0,6.77966101695,15.2542372881,50.8474576271,27.1186440678,0.25,185
3C:CB:7C:0D:60:34,58.0,0.0,24.1379310345,29.3103448276,1.72413793103,5.1724137931,1.72413793103,0.25,112
A8:9F:BA:4C:05:0D,58.0,0.0,0.0,8.62068965517,29.3103448276,43.1034482759,18.9655172414,0.25,344
F0:25:B7:B0:38:94,57.0,0.0,0.0,57.8947368421,8.77192982456,12.2807017544,21.0526315789,0.25,206
F0:25:B7:BC:DA:24,56.0,33.3333333333,0.0,0.0,5.35714285714,62.5,32.1428571429,0.25,160
D0:92:9E:13:75:24,56.0,0.0,0.0,41.0714285714,12.5,12.5,33.9285714286,0.25,69
40:6F:2A:73:0A:B8,56.0,0.0,0.0,26.7857142857,35.7142857143,33.9285714286,3.57142857143,0.25,155
B8:A3:E0:4C:8C:59,56.0,0.0,0.0,14.2857142857,39.2857142857,30.3571428571,16.0714285714,0.480769230769,65
84:55:A5:88:09:D9,55.0,0.0,0.0,20.0,34.5454545455,30.9090909091,14.5454545455,0.5,65
