mac_usr,avg_monthly_conections,[0:00-3:59](%),[4:00-7:59](%),[8:00-11:59](%),[12:00-15:59](%),[16:00-19:59](%),[20:00-23:59](%),diversidad,cant_conexiones
C8:14:79:A7:85:EF,142.0,0.0,0.0,7.04225352113,16.9014084507,52.8169014085,23.2394366197,0.25,566
94:01:C2:CE:F8:21,135.0,0.0,0.0,12.5925925926,34.8148148148,38.5185185185,14.0740740741,0.25,267
64:B8:53:DF:70:96,125.0,0.0,0.0,12.8,39.2,32.8,15.2,0.25,248
24:69:A5:9B:D4:BC,124.0,0.0,0.0,12.9032258065,37.0967741935,33.064516129,16.935483871,0.25,617
24:4B:81:3B:D0:E3,113.0,0.0,0.0,11.5044247788,33.6283185841,35.3982300885,19.4690265487,0.25,261
AC:D1:B8:21:13:C1,107.0,0.0,0.0,20.5607476636,21.4953271028,25.2336448598,32.7102803738,0.25,286
A8:7C:01:45:48:99,102.0,0.0,0.0,11.7647058824,36.2745098039,34.3137254902,17.6470588235,0.25,408
B8:6C:E8:F7:F6:72,102.0,0.0,0.0,13.7254901961,34.3137254902,34.3137254902,17.6470588235,0.25,307
C4:62:EA:71:FC:59,97.0,0.0,0.0,11.3402061856,29.8969072165,37.1134020619,21.6494845361,0.258591065292,194
90:18:7C:B2:51:BA,91.0,0.0,0.0,15.3846153846,35.1648351648,35.1648351648,14.2857142857,0.25,91
5C:0A:5B:2F:6D:FE,87.0,0.0,0.0,9.19540229885,35.632183908,31.0344827586,24.1379310345,0.25,301
E4:58:E7:07:0B:DC,74.0,0.0,0.0,10.8108108108,37.8378378378,33.7837837838,17.5675675676,0.25,245
78:40:E4:36:04:B3,74.0,0.0,0.0,1.35135135135,41.8918918919,50.0,6.75675675676,0.25,184
44:74:6C:D8:B6:62,71.0,0.0,0.0,14.0845070423,38.0281690141,29.5774647887,18.3098591549,0.259416195857,177
84:63:D6:ED:42:10,71.0,0.0,0.0,8.45070422535,14.0845070423,35.2112676056,30.985915493,0.25,212
A4:9A:58:9D:6A:C0,69.0,0.0,0.0,11.5942028986,27.5362318841,44.9275362319,15.9420289855,0.25,136
AC:36:13:E7:D9:DA,67.0,0.0,0.0,16.4179104478,35.8208955224,32.8358208955,14.9253731343,0.25,340
64:89:9A:71:5B:45,67.0,0.0,0.0,11.9402985075,31.3432835821,32.8358208955,23.8805970149,0.25,116
0C:E7:25:D5:64:64,66.0,0.0,0.0,13.6363636364,33.3333333333,33.3333333333,19.696969697,0.5,84
60:D8:19:72:B5:05,64.0,0.0,0.0,12.5,35.9375,39.0625,12.5,0.25,64
00:0C:E7:A7:4F:A8,63.0,0.0,9.52380952381,12.6984126984,9.52380952381,25.3968253968,22.2222222222,0.25,63
64:B8:53:ED:43:AA,60.0,20.0,0.0,11.6666666667,28.3333333333,41.6666666667,18.3333333333,0.25,235
CC:C3:EA:FF:BD:90,60.0,0.0,0.0,26.6666666667,35.0,21.6666666667,16.6666666667,0.25,300
BC:B3:08:B0:81:00,59.0,0.0,0.0,15.2542372881,18.6440677966,11.8644067797,22.0338983051,0.25,88
F0:99:BF:40:C8:CF,58.0,0.0,0.0,5.1724137931,22.4137931034,41.3793103448,27.5862068966,0.25,126
B0:E0:3C:4B:43:BA,57.0,0.0,0.0,47.3684210526,35.0877192982,15.7894736842,1.75438596491,0.25,141
84:63:D6:22:6B:7C,57.0,0.0,0.0,22.8070175439,38.5964912281,22.8070175439,15.7894736842,0.258865248227,188
F8:3D:FF:FD:55:E0,57.0,0.0,0.0,14.0350877193,31.5789473684,40.350877193,14.0350877193,0.5,298
04:FE:31:F5:85:DC,57.0,0.0,0.0,5.26315789474,21.0526315789,52.6315789474,21.0526315789,0.257278020378,229
10:3B:59:2D:A0:96,54.0,0.0,0.0,3.7037037037,14.8148148148,16.6666666667,55.5555555556,0.296296296296,72
00:19:1F:47:56:44,53.0,0.0,0.0,11.320754717,30.1886792453,30.1886792453,26.4150943396,0.25,137
C4:62:EA:48:2D:64,53.0,44.4444444444,0.0,22.641509434,49.0566037736,16.9811320755,11.320754717,0.25,208
60:51:2C:93:7C:7D,52.0,0.0,0.0,11.5384615385,9.61538461538,40.3846153846,32.6923076923,0.25,203
08:FC:88:4C:79:53,52.0,0.0,0.0,21.1538461538,40.3846153846,23.0769230769,15.3846153846,0.25,154
00:88:A5:DC:49:1F,52.0,0.0,0.0,13.4615384615,28.8461538462,30.7692307692,26.9230769231,0.25,207
3C:CB:7C:47:58:2A,51.0,0.0,0.0,9.80392156863,27.4509803922,45.0980392157,17.6470588235,0.25,99
C0:65:99:0C:36:EC,49.0,0.0,0.0,2.04081632653,32.6530612245,34.693877551,30.612244898,0.25,113
CC:A2:23:79:EB:38,49.0,0.0,0.0,0.0,6.12244897959,53.0612244898,40.8163265306,0.25,217
90:21:81:3D:1E:75,49.0,0.0,0.0,20.4081632653,36.7346938776,28.5714285714,14.2857142857,0.304824561404,152
5C:0A:5B:B2:42:EC,48.0,0.0,0.0,25.0,33.3333333333,22.9166666667,18.75,0.25,94
24:DB:ED:7B:99:24,48.0,0.0,0.0,12.5,12.5,31.25,43.75,0.25,232
CC:C3:EA:9C:D4:78,46.0,0.0,0.0,2.17391304348,0.0,28.2608695652,54.347826087,0.612612612613,74
44:6D:6C:B2:1B:81,45.0,0.0,0.0,22.2222222222,31.1111111111,26.6666666667,20.0,0.25,152
5C:2E:59:0B:29:07,45.0,0.0,0.0,11.1111111111,51.1111111111,37.7777777778,0.0,0.25,113
E4:F8:EF:05:12:39,45.0,0.0,0.0,4.44444444444,24.4444444444,55.5555555556,15.5555555556,0.25,167
30:A8:DB:32:D8:AA,45.0,0.0,0.0,24.4444444444,44.4444444444,31.1111111111,0.0,0.25,45
24:DB:ED:61:A8:D5,45.0,0.0,0.0,13.3333333333,37.7777777778,31.1111111111,17.7777777778,0.25,45
48:59:29:CE:90:61,44.0,0.0,0.0,13.6363636364,22.7272727273,52.2727272727,11.3636363636,0.261261261261,148
14:B4:84:71:34:3E,44.0,0.0,0.0,18.1818181818,40.9090909091,22.7272727273,18.1818181818,0.25,121
F0:5A:09:EA:BA:44,44.0,0.0,0.0,4.54545454545,36.3636363636,31.8181818182,27.2727272727,0.25,161
00:09:22:76:BD:A2,43.0,0.0,0.0,16.2790697674,27.9069767442,32.5581395349,23.2558139535,0.414319248826,142
38:AA:3C:8C:22:30,43.0,0.0,6.97674418605,86.0465116279,0.0,2.32558139535,4.6511627907,0.25,158
E4:2D:02:C0:21:13,42.0,0.0,0.0,14.2857142857,14.2857142857,19.0476190476,23.8095238095,0.25,207
FC:92:3B:E8:DE:14,41.0,40.0,0.0,14.6341463415,12.1951219512,24.3902439024,17.0731707317,0.25,61
B8:4F:D5:27:9C:63,41.0,100.0,0.0,26.8292682927,17.0731707317,21.9512195122,34.1463414634,0.25,132
E8:94:F6:DD:49:7F,41.0,0.0,0.0,9.75609756098,34.1463414634,29.2682926829,26.8292682927,0.25,44
04:1B:BA:E2:46:75,40.0,0.0,0.0,10.0,27.5,37.5,25.0,0.299751243781,67
E0:CB:EE:9B:02:57,40.0,0.0,0.0,7.5,65.0,27.5,0.0,0.25,79
8C:C5:E1:1C:40:96,40.0,0.0,0.0,10.0,25.0,42.5,22.5,0.25,40
04:1B:BA:F0:45:12,39.0,0.0,0.0,15.3846153846,38.4615384615,25.641025641,17.9487179487,0.25,102
3C:91:57:26:F1:14,38.0,28.5714285714,0.0,10.5263157895,18.4210526316,34.2105263158,31.5789473684,0.5,170
08:FC:88:4B:08:1F,38.0,0.0,0.0,18.4210526316,26.3157894737,36.8421052632,18.4210526316,0.25,167
40:6F:2A:DD:3B:DC,38.0,0.0,0.0,13.1578947368,42.1052631579,34.2105263158,10.5263157895,0.262165450122,137
CC:C3:EA:E6:A4:88,38.0,0.0,0.0,5.26315789474,13.1578947368,47.3684210526,34.2105263158,0.280674846626,163
F0:27:65:31:E7:91,37.0,0.0,0.0,2.7027027027,72.972972973,24.3243243243,0.0,0.25,37
38:B1:DB:CB:8F:78,37.0,0.0,0.0,18.9189189189,37.8378378378,35.1351351351,8.10810810811,0.25,140
8C:3A:E3:95:7E:12,36.0,0.0,0.0,22.2222222222,22.2222222222,22.2222222222,27.7777777778,0.25,95
48:5A:3F:68:7C:D0,36.0,0.0,0.0,5.55555555556,36.1111111111,33.3333333333,19.4444444444,0.25,69
14:89:FD:5A:33:4B,35.0,0.0,0.0,17.1428571429,5.71428571429,37.1428571429,40.0,0.25,40
F0:6B:CA:5B:B8:A8,35.0,100.0,0.0,0.0,17.1428571429,68.5714285714,14.2857142857,0.25,63
5C:0A:5B:69:16:0E,35.0,0.0,0.0,20.0,28.5714285714,37.1428571429,14.2857142857,0.25,67
BC:44:86:DD:F0:9A,34.0,0.0,0.0,17.6470588235,32.3529411765,26.4705882353,23.5294117647,0.25,112
84:63:D6:ED:6B:A8,34.0,100.0,0.0,41.1764705882,11.7647058824,11.7647058824,17.6470588235,0.25,112
08:FC:88:65:AA:E2,34.0,0.0,0.0,2.94117647059,29.4117647059,23.5294117647,44.1176470588,0.287453183521,178
78:40:E4:EA:3D:4A,34.0,12.5,0.0,0.0,50.0,11.7647058824,38.2352941176,0.25,38
C0:F8:DA:43:A6:4D,33.0,0.0,0.0,0.0,15.1515151515,48.4848484848,36.3636363636,0.25,60
00:E3:B2:65:46:5A,33.0,0.0,0.0,12.1212121212,30.303030303,42.4242424242,15.1515151515,0.375,40
20:D3:90:AE:3A:80,33.0,0.0,0.0,0.0,21.2121212121,66.6666666667,12.1212121212,0.25,37
9C:A9:E4:EC:66:A2,33.0,0.0,0.0,18.1818181818,57.5757575758,18.1818181818,6.06060606061,0.25,93
48:5A:3F:2A:60:76,33.0,0.0,0.0,24.2424242424,12.1212121212,15.1515151515,21.2121212121,0.25,141
A8:9F:BA:50:3C:15,33.0,0.0,0.0,12.1212121212,39.3939393939,24.2424242424,21.2121212121,0.25,64
64:89:9A:7D:1A:5C,33.0,0.0,0.0,21.2121212121,18.1818181818,27.2727272727,24.2424242424,0.25,164
40:BA:61:8D:B4:AC,33.0,0.0,0.0,9.09090909091,57.5757575758,30.303030303,3.0303030303,0.25,33
34:AA:8B:34:1E:B5,32.0,0.0,0.0,0.0,25.0,65.625,9.375,0.290650406504,41
40:B0:FA:CB:17:F5,32.0,0.0,0.0,6.25,31.25,34.375,28.125,0.25,85
88:32:9B:09:F5:2F,32.0,0.0,0.0,28.125,34.375,12.5,25.0,0.25,32
C4:42:02:D1:14:A4,32.0,0.0,0.0,12.5,56.25,18.75,12.5,0.25,74
E8:92:A4:9D:09:8B,32.0,0.0,0.0,18.75,6.25,15.625,25.0,0.25,43
D8:90:E8:37:8A:04,32.0,0.0,0.0,15.625,18.75,37.5,28.125,0.25,96
84:8E:DF:4C:9E:4D,31.0,16.6666666667,3.22580645161,45.1612903226,12.9032258065,16.1290322581,22.5806451613,0.25,31
E4:12:1D:6D:B0:61,31.0,50.0,0.0,9.67741935484,19.3548387097,16.1290322581,16.1290322581,0.25,77
24:0A:11:75:11:FA,31.0,0.0,0.0,25.8064516129,38.7096774194,32.2580645161,0.0,0.25,92
A0:82:1F:77:44:80,31.0,0.0,0.0,3.22580645161,29.0322580645,32.2580645161,22.5806451613,0.839285714286,504
10:D5:42:18:F3:2A,31.0,0.0,0.0,22.5806451613,16.1290322581,35.4838709677,25.8064516129,0.25,52
78:4B:87:6D:AA:46,31.0,0.0,0.0,32.2580645161,58.064516129,9.67741935484,0.0,0.25,31
30:69:4B:51:26:BD,31.0,0.0,0.0,12.9032258065,32.2580645161,41.935483871,12.9032258065,0.25,122
D4:93:98:92:71:68,30.0,0.0,0.0,10.0,46.6666666667,33.3333333333,10.0,0.5,201
08:FD:0E:3E:45:42,30.0,0.0,0.0,13.3333333333,23.3333333333,40.0,23.3333333333,0.25,151
A8:7C:01:D4:E1:3D,30.0,0.0,0.0,10.0,90.0,0.0,0.0,0.25,117
00:09:22:76:6D:A2,29.0,14.2857142857,0.0,20.6896551724,20.6896551724,20.6896551724,13.7931034483,0.25,80
34:BB:1F:DE:D4:1A,29.0,0.0,0.0,3.44827586207,34.4827586207,62.0689655172,0.0,0.25,85
A8:7C:01:57:24:E3,29.0,0.0,0.0,10.3448275862,13.7931034483,37.9310344828,10.3448275862,0.324074074074,90
CC:FA:00:D6:29:68,29.0,0.0,0.0,3.44827586207,31.0344827586,31.0344827586,34.4827586207,0.25,142
88:C9:D0:B3:34:1E,29.0,100.0,0.0,27.5862068966,27.5862068966,34.4827586207,10.3448275862,0.25,106
08:EE:8B:65:57:A5,29.0,0.0,0.0,10.3448275862,17.2413793103,41.3793103448,31.0344827586,0.25,52
0C:B3:19:8F:70:A4,29.0,0.0,0.0,0.0,37.9310344828,44.8275862069,17.2413793103,0.26572327044,106
30:7C:30:02:9B:F6,29.0,0.0,0.0,3.44827586207,13.7931034483,41.3793103448,41.3793103448,0.25,67
38:94:96:91:DE:79,29.0,0.0,0.0,13.7931034483,31.0344827586,31.0344827586,24.1379310345,0.25,78
40:F3:08:83:94:F1,29.0,0.0,0.0,13.7931034483,34.4827586207,27.5862068966,24.1379310345,0.25,92
D0:92:9E:12:BB:60,29.0,0.0,0.0,20.6896551724,20.6896551724,31.0344827586,17.2413793103,0.25,145
50:FC:9F:CD:41:A0,29.0,0.0,0.0,20.6896551724,31.0344827586,27.5862068966,20.6896551724,0.5,362
E8:15:0E:6A:84:28,29.0,0.0,0.0,17.2413793103,51.724137931,27.5862068966,3.44827586207,0.273148148148,72
8C:BF:A6:17:46:CA,28.0,0.0,0.0,10.7142857143,28.5714285714,28.5714285714,32.1428571429,0.25,51
14:89:FD:68:F8:06,28.0,0.0,0.0,14.2857142857,28.5714285714,35.7142857143,21.4285714286,0.25,151
