Mac1,Mac2
168990,168991
168992,168991
168992,168990
168993,168994
168994,168995
168993,168995
168996,168997
168998,168999
168998,169000
168999,169000
168996,169001
169002,169003
169004,169003
169004,169002
169005,169006
169007,169008
155916,169008
155916,169007
138985,169003
138985,169009
138985,169010
169009,169003
169003,169010
169009,169010
169011,169012
169013,169014
169015,169008
169016,169008
169016,169015
169017,169018
169009,169006
169019,169020
169021,169022
169022,169023
169022,167850
169021,169023
169021,167850
167850,169023
169024,169025
169026,169018
169027,169028
169029,169030
169031,169022
169031,169032
169022,169032
169003,169033
169034,169035
169036,169023
169037,169023
169037,169036
169038,169039
169040,169039
169040,169038
169041,169042
169030,169043
169030,169032
169043,169032
169044,169045
169046,169045
169047,169045
169046,169044
169047,169044
169046,169047
169048,169049
169048,169039
169049,169039
169050,169051
169051,169006
169050,169006
169052,169053
169053,169054
169053,169055
169052,169054
169052,169055
169054,169055
169056,169057
169003,169058
169032,169058
169059,169058
169023,169058
169058,169060
169061,169058
169003,169032
169059,169003
169003,169023
169003,169060
169061,169003
169059,169032
169032,169023
169032,169060
169061,169032
169059,169023
169059,169060
169061,169059
169023,169060
169061,169023
169061,169060
169062,169063
169064,169065
169066,169067
169012,169066
169068,169066
169012,169067
169068,169067
169068,169012
169069,169041
169052,169041
169070,169041
169041,169071
169069,169052
169069,169070
169069,169071
169052,169070
169052,169071
169070,169071
169051,169072
169051,143729
169072,143729
169053,169073
169074,169073
169073,169075
169076,169073
169074,169053
169053,169075
169076,169053
169074,169075
169074,169076
169076,169075
169077,169039
169078,169039
169077,169078
169030,169079
169030,169080
169079,169080
169081,169082
169051,169083
169051,169084
169051,169085
169084,169083
169083,169085
169084,169085
169086,143729
169087,143729
169086,169087
169088,169089
169003,169044
169051,169072
169052,169051
169051,169023
169052,169072
169072,169023
169052,169023
169090,169091
169092,169086
169092,169093
169086,169093
169063,169044
169094,169044
169063,169094
169095,169096
169095,169097
169096,169097
169061,169003
169061,169039
169003,169039
169098,169075
169095,169003
169095,117187
169003,117187
169099,169094
169037,169094
169037,169099
169039,169075
169100,169075
169101,169075
169039,169100
169101,169039
169101,169100
169061,169102
167749,169023
169103,167749
169103,169023
169063,169104
169075,169105
169106,169039
169107,169108
169109,169061
169110,169111
169103,169112
169112,169087
169095,169112
169113,169112
169112,169023
169103,169087
169095,169103
169113,169103
169103,169023
169095,169087
169113,169087
169023,169087
169113,169095
169095,169023
169113,169023
169114,169115
141449,169115
169116,169115
169114,141449
169114,169116
141449,169116
169063,135357
169117,169039
169118,169119
169119,169120
169118,169120
169103,169121
169122,169121
169103,169122
169063,169123
169124,169063
169125,169063
169124,169123
169125,169123
169125,169124
169126,169105
169119,169127
169128,169129
169128,169130
169129,169130
169086,169131
169132,169131
169086,169132
169133,169134
169135,169136
169135,169137
169136,169137
169138,169139
169140,169141
169142,169143
169142,169144
169144,169143
169086,169115
169103,169115
169086,169103
169145,169039
169146,169147
169144,169147
169146,169144
169148,169149
169150,169149
169103,169149
169148,169150
169148,169103
169103,169150
169151,169039
169144,169023
169152,169153
169086,169039
169103,169039
169086,169103
142286,169154
169155,169156
169031,169157
169158,169061
169158,169144
169061,169144
169159,169160
169161,169141
169023,169153
169162,169163
169162,169164
169162,169165
169162,169166
169163,169164
169163,169165
169163,169166
169165,169164
169166,169164
169166,169165
169061,169154
169167,169168
151036,169168
169144,169168
169169,169168
169167,151036
169167,169144
169167,169169
151036,169144
169169,151036
169169,169144
169170,169171
169172,169152
169172,169173
169174,169172
169173,169152
169174,169152
169174,169173
169175,169176
169177,169176
169176,169105
169175,169177
169175,169105
169177,169105
169178,169179
169178,169154
169179,169154
169180,169181
169181,169182
169181,169023
169183,169181
169180,169182
169180,169023
169180,169183
169182,169023
169183,169182
169183,169023
169184,169185
169186,169187
169186,169188
169186,169189
169186,169162
169188,169187
169187,169189
169162,169187
169188,169189
169162,169188
169162,169189
169190,169191
169192,169193
169194,169193
169195,169193
169196,169193
169194,169192
169195,169192
169192,169196
169195,169194
169194,169196
169195,169196
169197,169182
169198,169182
169197,169198
169199,169039
169199,169200
169039,169200
169201,169202
169187,169201
169203,169201
169183,169201
169187,169202
169203,169202
169183,169202
169203,169187
169183,169187
169203,169183
169188,169204
169188,169205
169188,169206
169204,169205
169206,169204
169206,169205
169207,147133
169189,147133
169207,169189
169208,169196
169209,169039
169210,169039
169209,169210
169211,169210
169212,169213
169212,169201
169201,169213
169214,169215
169203,169214
169216,169214
169214,169217
169203,169215
169216,169215
169215,169217
169216,169203
169203,169217
169216,169217
169194,169218
169063,169219
169063,169210
169219,169210
169220,169039
169211,169039
169221,169039
169211,169220
169220,169221
169211,169221
169222,169223
169222,169224
169223,169224
169225,169226
169184,169225
169184,169226
169223,169227
169228,169173
169165,169173
169173,169229
169228,169165
169228,169229
169165,169229
169230,169039
169144,169231
169232,169233
169234,169233
169232,169234
169235,169236
169235,169237
169236,169237
169023,169238
169239,169238
169239,169023
169226,169240
169119,169039
169119,169241
169241,169039
169212,169229
169242,169144
169242,169243
169144,169243
169203,169165
2926,169244
169245,169246
169247,169248
169248,169249
169248,169250
169247,169249
169247,169250
169250,169249
169234,169249
169251,169252
169252,169249
169144,169252
169253,169252
169251,169249
169144,169251
169251,169253
169144,169249
169253,169249
169144,169253
169254,169255
169239,169256
138194,169249
169257,138194
169257,169249
169258,169259
169260,169023
169103,169023
169260,169103
2926,169261
169239,169262
169263,169264
169263,169234
169234,169264
169265,169075
169173,169256
169266,169267
169266,169268
169269,169270
169271,169272
169273,169274
169273,169275
169274,169275
116058,169276
169277,169278
169279,169280
169052,169280
169052,169279
169281,169144
169277,142118
169282,169283
168997,169283
169283,169275
168997,169282
169282,169275
168997,169275
135681,169284
169285,169284
169281,169284
168953,169284
169285,135681
169281,135681
168953,135681
169281,169285
169285,168953
169281,168953
169285,169286
169285,169287
169286,169287
169277,169288
169289,169144
169277,169290
169290,169269
169277,169269
169291,169292
169289,169292
169291,169289
169293,169144
169294,169295
169052,169296
169296,169297
169296,169298
169052,169297
169052,169298
169297,169298
169299,169277
169300,169301
169289,169302
169052,169303
169052,169304
169304,169303
169299,169305
169299,169306
169305,169306
169201,169307
169277,169308
169309,169249
169310,169311
169086,169312
169308,169312
133205,169312
169086,169308
169086,133205
133205,169308
169313,169289
169144,134677
134677,169278
169144,169278
169314,169023
169023,37467
169314,37467
169315,169316
169317,169315
169317,169316
169318,169319
169289,169318
169289,169319
169320,169321
169322,169144
169269,145796
169281,138175
169323,169321
169324,169323
169324,169321
169313,169321
169313,169086
169086,169321
169325,169326
169326,169327
169325,169327
169328,169329
169330,169329
169331,169329
169332,169329
169333,169329
169328,169330
169328,169331
169328,169332
169328,169333
169330,169331
169330,169332
169330,169333
169332,169331
169333,169331
169333,169332
169334,169335
169335,169336
169335,169023
169318,169335
169334,169336
169334,169023
169318,169334
169336,169023
169318,169336
169318,169023
169337,169338
169337,169339
169337,169340
169337,169341
169338,169339
169338,169340
169341,169338
169339,169340
169341,169339
169341,169340
169289,169342
169343,169342
169344,169342
169345,169342
169289,169343
169289,169344
169345,169289
169344,169343
169345,169343
169345,169344
169346,169347
169346,169348
169346,169321
169346,169349
169269,169346
169350,169346
169348,169347
169347,169321
169347,169349
169269,169347
169350,169347
169348,169321
169348,169349
169269,169348
169350,169348
169321,169349
169269,169321
169350,169321
169269,169349
169350,169349
169350,169269
169281,169086
169281,169351
169086,169351
169352,169353
169354,169353
169354,169352
169336,169355
168997,169336
169356,169336
169357,169336
169325,169336
169336,169358
169336,116058
168997,169355
169356,169355
169357,169355
169325,169355
169355,169358
116058,169355
169356,168997
168997,169357
169325,168997
168997,169358
168997,116058
169356,169357
169356,169325
169356,169358
169356,116058
169325,169357
169357,169358
169357,116058
169325,169358
169325,116058
116058,169358
169359,169360
169360,169361
169360,169362
169359,169361
169359,169362
169362,169361
169363,169364
169289,169363
169289,169364
169365,169366
169366,169367
169368,169366
169366,134167
169365,169367
169365,169368
169365,134167
169368,169367
169367,134167
169368,134167
169369,169351
169365,169370
169328,169371
169372,169302
169372,169373
169372,169374
169373,169302
169374,169302
169374,169373
169336,169023
169375,169336
169354,169336
169375,169023
169354,169023
169375,169354
169345,116058
169086,169376
169086,169377
169378,169086
169377,169376
169378,169376
169378,169377
169379,169380
169379,138905
169379,169269
169379,169381
169379,169382
138905,169380
169269,169380
169381,169380
169382,169380
138905,169269
138905,169381
169382,138905
169269,169381
169382,169269
169382,169381
169383,169384
169385,169384
169365,169384
169386,169384
169387,169384
169385,169383
169365,169383
169386,169383
169387,169383
169385,169365
169385,169386
169385,169387
169365,169386
169365,169387
169386,169387
169359,169351
169359,149649
149649,169351
169388,169389
169390,169388
169390,169389
169086,169391
169392,169391
169393,169391
169394,169391
169086,169392
169086,169393
169394,169086
169393,169392
169394,169392
169394,169393
169395,169396
169397,169395
169398,169395
169399,169395
169400,169395
169401,169395
169336,169395
169395,169402
169403,169395
169397,169396
169398,169396
169399,169396
169400,169396
169401,169396
169336,169396
169402,169396
169403,169396
169398,169397
169399,169397
169397,169400
169401,169397
169397,169336
169397,169402
169403,169397
169399,169398
169398,169400
169401,169398
169398,169336
169398,169402
169403,169398
169399,169400
169399,169401
169399,169336
169399,169402
169403,169399
169401,169400
169336,169400
169400,169402
169403,169400
169401,169336
169401,169402
169403,169401
169336,169402
169403,169336
169403,169402
169404,169405
169404,169351
169404,169406
169405,169351
169405,169406
169406,169351
169407,169408
169407,169409
169382,169407
169409,169408
169382,169408
169382,169409
168997,135500
169269,135500
168997,169269
169086,169410
169086,169411
169086,169412
169086,169413
169414,169086
169410,169411
169412,169410
169410,169413
169414,169410
169412,169411
169413,169411
