Mac1,Mac2,peso
175325,187377,23
169365,186386,17
169729,178468,16
169061,170993,15
187377,190112,15
186386,178468,13
169729,169023,12
178968,169729,12
175996,169729,12
181462,170096,12
186386,175252,11
169061,186386,11
181462,175325,11
169365,169729,11
180268,169729,10
175325,187093,10
180268,181462,10
198132,169729,10
169718,169729,10
178968,169718,10
170993,169729,10
169365,178468,10
180268,175325,10
169086,168997,9
181462,170993,9
169960,142443,9
180268,178968,9
180268,187377,9
169365,178968,9
181462,169718,9
169960,169729,9
180268,168997,9
169365,173298,9
178518,187377,9
168997,169729,9
169061,168997,8
125047,178468,8
191168,178468,8
169729,194584,8
171324,169836,8
180268,170096,8
169061,170096,8
180268,169440,8
170993,178468,8
169961,175252,8
187377,187795,8
173916,173997,8
169365,187377,8
169365,168997,8
169729,192558,8
181462,179235,8
125047,186386,8
186386,175996,8
186999,169729,8
169061,169086,8
171324,170993,8
169023,173813,8
169086,169103,8
175325,170993,8
186386,194584,8
169365,169061,8
168997,170993,8
183036,170096,7
187377,184479,7
169103,169023,7
169061,178968,7
186999,172666,7
169729,186738,7
169061,175996,7
175325,170096,7
183457,181462,7
175996,178468,7
169836,175325,7
180268,178468,7
125047,175252,7
170130,170005,7
169061,181462,7
169061,179387,7
194584,178468,7
169365,175252,7
180268,169023,7
178518,181462,7
169961,194584,7
169103,179526,7
168997,169023,7
180268,169061,7
169729,184427,7
172666,178468,7
169365,180268,7
183036,187377,7
169061,178468,7
178508,169729,7
169365,169961,7
196150,190780,7
180268,170993,7
169836,169729,6
178518,186032,6
170993,170096,6
171324,179235,6
187177,151489,6
180268,171286,6
169365,194584,6
89946,170993,6
181462,183036,6
170993,169023,6
180268,186386,6
177588,178968,6
178968,186386,6
178968,169034,6
180268,184479,6
186386,170993,6
170096,169075,6
169729,173298,6
169061,175325,6
180268,169718,6
168997,198132,6
169061,169836,6
179235,169023,6
177588,169729,6
89946,182962,6
173298,194584,6
169654,169729,6
178968,181462,6
169023,170096,6
169729,170096,6
178968,178468,6
178518,184769,6
180268,194584,6
175325,143452,6
179526,169023,6
168997,186386,6
179235,170993,6
192334,178468,6
170374,169729,6
169061,178518,6
169729,187377,6
178968,171168,6
191319,169729,6
175325,183036,6
180268,169659,6
180268,169836,6
175325,169729,6
169960,169012,6
178468,190139,6
169061,125047,6
169836,173813,6
180268,125047,5
177588,151489,5
178518,169729,5
169729,172666,5
172376,171168,5
169061,169718,5
169086,169023,5
169836,179235,5
194321,194584,5
184656,172666,5
169729,175252,5
187377,188751,5
173298,172666,5
177588,170993,5
175996,187377,5
178968,169103,5
169061,181925,5
186386,184479,5
169302,169023,5
186999,196150,5
168997,175996,5
178968,169284,5
175325,171286,5
178968,169023,5
169061,142443,5
169037,169729,5
169365,187795,5
190139,190780,5
177588,192334,5
181462,187377,5
182962,178468,5
186738,178468,5
187377,178468,5
186386,187177,5
169365,181462,5
170993,171161,5
169061,169023,5
178518,190112,5
180268,183036,5
178968,133435,5
191168,168997,5
180268,175996,5
170005,178968,5
169836,169023,5
169961,172666,5
169960,169023,5
169836,169075,5
169365,183036,5
175996,171286,5
175325,188751,5
178707,178968,5
125047,170993,5
177588,184204,5
170993,172666,5
171069,180268,5
181462,186386,5
169365,171286,5
169365,171196,5
169365,170993,5
171324,169061,5
177588,187377,5
180268,179235,5
173298,194321,5
183457,125047,5
190112,178468,5
171699,187377,5
173090,178968,5
180268,178518,5
169144,173813,5
181462,169836,5
169836,170993,5
177588,178468,5
169086,181462,5
181462,182962,5
183036,171286,5
152046,168997,5
169061,169659,5
169103,170993,5
170993,171286,5
186386,151489,5
187377,169023,5
178468,184479,5
180268,184769,5
184204,183036,4
169836,171161,4
169365,177588,4
169103,179235,4
181462,156,4
197758,190780,4
178518,183036,4
191072,178468,4
198132,197758,4
187177,187795,4
125047,169729,4
179235,169826,4
186386,172666,4
198132,194584,4
171699,175325,4
169023,178468,4
168997,190780,4
178518,178968,4
177588,169023,4
125047,192558,4
171675,169729,4
169796,133865,4
170101,169103,4
185640,169729,4
170993,180599,4
152046,169061,4
170993,192558,4
179235,173813,4
184204,187377,4
172389,169061,4
177588,186999,4
153527,170096,4
175996,193663,4
169718,169440,4
186386,175325,4
168997,169659,4
170993,187795,4
191072,187795,4
171856,169023,4
168997,169012,4
186386,169729,4
170993,173813,4
172666,142443,4
177588,180268,4
170993,169255,4
183457,186386,4
172666,169075,4
175996,187177,4
194981,169729,4
183457,187377,4
125047,191319,4
125047,175996,4
168997,170096,4
169103,172666,4
180268,184204,4
192334,169729,4
170993,169075,4
170993,173298,4
191072,175252,4
187177,175252,4
170993,169037,4
169061,179235,4
169061,169302,4
169836,169103,4
169836,170096,4
186999,194584,4
172666,175252,4
194584,175252,4
168997,168999,4
125047,171161,4
151489,178468,4
189360,181462,4
169103,175325,4
172100,170993,4
171324,179526,4
179235,179425,4
5494,170096,4
196457,196458,4
125047,190139,4
169718,170096,4
169103,173813,4
178518,184479,4
169440,180340,4
178518,170993,4
169961,178468,4
170993,142443,4
178518,178468,4
169729,194321,4
190112,175252,4
169302,170096,4
169365,172376,4
171324,173813,4
192908,175252,4
192908,186386,4
186386,193967,4
178968,187177,4
169836,183036,4
169836,182962,4
169086,172666,4
171069,169836,4
169144,142443,4
178518,168997,4
183036,169023,4
169061,170529,4
183036,184479,4
169086,170562,4
187377,184427,4
169729,171286,4
172540,173813,4
187795,178468,4
187377,181901,4
178518,186386,4
178511,179526,4
156,170096,4
169023,187795,4
169086,169836,4
191168,198187,4
169061,173813,4
178968,185645,4
181462,171352,4
178689,170993,4
194530,173997,4
169086,175996,4
169086,169659,4
169960,170993,4
193643,178468,4
183036,181925,4
169729,156,4
169086,175325,4
173298,178468,4
173298,190139,4
168997,190112,4
175325,179387,4
181462,190112,4
169034,175996,4
169061,172666,4
196150,169729,4
171974,186386,4
169061,175026,4
171324,169012,4
170993,194763,4
169023,169659,4
169729,187795,4
169144,169023,4
191641,169729,4
171324,169103,4
169365,184204,4
169144,169103,4
171324,169023,4
178968,184204,4
169086,169012,4
169365,190112,4
126138,168999,4
191168,190780,4
192908,125047,4
169365,190139,4
169365,169256,4
196089,178468,4
182933,182940,4
187377,170096,4
169960,170096,4
178968,170096,4
171286,178468,4
171132,169061,4
169086,178968,4
197758,194584,4
182962,169729,4
178968,175325,4
171132,169023,4
169654,169086,4
181462,169729,4
175996,183036,4
175996,143452,4
169052,169836,4
