Mac1,Mac2
200558,171876
200559,171876
171876,200560
200558,200559
200558,200560
200559,200560
200561,200562
184749,200562
200561,184749
173388,200563
173388,200564
173388,200565
173388,169345
200563,200564
200563,200565
169345,200563
200564,200565
169345,200564
169345,200565
200566,200567
200566,200568
200566,200569
200566,200570
200566,200571
171092,200566
200566,200572
200566,200573
200566,200574
200566,200575
200567,200568
200567,200569
200567,200570
200567,200571
171092,200567
200567,200572
200567,200573
200574,200567
200567,200575
200569,200568
200568,200570
200568,200571
171092,200568
200568,200572
200573,200568
200574,200568
200568,200575
200569,200570
200569,200571
171092,200569
200569,200572
200569,200573
200574,200569
200569,200575
200571,200570
171092,200570
200572,200570
200573,200570
200574,200570
200575,200570
171092,200571
200572,200571
200573,200571
200574,200571
200571,200575
171092,200572
171092,200573
171092,200574
171092,200575
200573,200572
200574,200572
200572,200575
200574,200573
200573,200575
200574,200575
200576,200577
200576,200568
200576,200578
200576,200570
200576,200571
2926,200576
200576,200579
200576,200573
200576,200580
200568,200577
200578,200577
200577,200570
200571,200577
2926,200577
200579,200577
200573,200577
200580,200577
200578,200568
200568,200570
200568,200571
2926,200568
200579,200568
200573,200568
200580,200568
200578,200570
200578,200571
2926,200578
200578,200579
200578,200573
200580,200578
200571,200570
2926,200570
200579,200570
200573,200570
200580,200570
2926,200571
200579,200571
200573,200571
200580,200571
2926,200579
2926,200573
2926,200580
200579,200573
200580,200579
200580,200573
200581,200582
200582,200583
200584,200582
169345,200582
200581,200583
200584,200581
169345,200581
200584,200583
169345,200583
169345,200584
200569,200559
200569,200565
200569,134167
200569,200585
200559,200565
200559,134167
200585,200559
200565,134167
200585,200565
200585,134167
200586,200587
200586,200564
200586,184749
200587,200564
200587,184749
200564,184749
200588,200589
200589,200572
200590,200589
200591,200589
200588,200572
200590,200588
200588,200591
200590,200572
200591,200572
200590,200591
200592,200593
200592,200594
200595,200592
200596,200592
200593,200594
200595,200593
200596,200593
200595,200594
200596,200594
200595,200596
200597,200598
171092,200598
171092,200597
200578,200599
173388,200578
200600,200578
200578,200601
200578,134787
200602,200578
173388,200599
200600,200599
200599,200601
134787,200599
200602,200599
200600,173388
173388,200601
173388,134787
173388,200602
200600,200601
200600,134787
200600,200602
134787,200601
200602,200601
200602,134787
200576,200582
200576,200603
200576,200581
200576,200604
200603,200582
200581,200582
200604,200582
200603,200581
200604,200603
200604,200581
146047,200605
184337,146047
184337,200605
200606,200607
200606,200608
200607,200608
200587,200609
200610,200611
200610,200612
200612,200611
200613,147761
181555,147761
200613,181555
200614,200615
200615,200598
200616,200615
171092,200615
200615,200617
200614,200598
200616,200614
171092,200614
200614,200617
200616,200598
171092,200598
200617,200598
171092,200616
200616,200617
171092,200617
200569,200618
200569,200619
200620,200569
200569,175252
200569,200597
200619,200618
200620,200618
200618,175252
200597,200618
200620,200619
200619,175252
200619,200597
200620,175252
200620,200597
200597,175252
200621,200582
134787,200582
200621,134787
200622,200623
200622,200624
200622,200625
200624,200623
200625,200623
200624,200625
200606,200626
200606,200627
200626,200627
200628,200612
200628,200629
200628,200560
200629,200612
200612,200560
200629,200560
200630,200631
181555,200631
200615,200631
181555,200630
200615,200630
181555,200615
200632,200633
200634,200632
200634,200633
200635,200618
200636,200635
200635,200597
200591,200635
200636,200618
200597,200618
200591,200618
200636,200597
200591,200636
200591,200597
200620,200637
134787,200637
200620,134787
200638,198145
200639,200640
200641,200639
200639,200642
136394,200639
200643,200639
200644,200639
200645,200639
200646,200639
191320,200639
200647,200639
200648,200639
200639,200623
200639,177340
200641,200640
200642,200640
136394,200640
200643,200640
200644,200640
200645,200640
200646,200640
191320,200640
200647,200640
200648,200640
200623,200640
177340,200640
200641,200642
136394,200641
200641,200643
200641,200644
200645,200641
200641,200646
191320,200641
200647,200641
200641,200648
200641,200623
200641,177340
136394,200642
200643,200642
200644,200642
200645,200642
200646,200642
191320,200642
200647,200642
200648,200642
200642,200623
200642,177340
136394,200643
136394,200644
136394,200645
136394,200646
191320,136394
136394,200647
136394,200648
136394,200623
136394,177340
200643,200644
200645,200643
200643,200646
191320,200643
200647,200643
200643,200648
200643,200623
200643,177340
200645,200644
200646,200644
191320,200644
200647,200644
200648,200644
200644,200623
200644,177340
200645,200646
191320,200645
200645,200647
200645,200648
200645,200623
200645,177340
191320,200646
200647,200646
200648,200646
200646,200623
200646,177340
191320,200647
191320,200648
191320,200623
191320,177340
200647,200648
200647,200623
200647,177340
200648,200623
200648,177340
177340,200623
200649,200650
200651,200652
200651,200653
200651,175054
200651,200654
200651,200655
200656,200651
200652,200653
200652,175054
200652,200654
200655,200652
200656,200652
175054,200653
200654,200653
200655,200653
200656,200653
200654,175054
200655,175054
200656,175054
200655,200654
200656,200654
200656,200655
200657,200658
200631,200658
200659,200658
200660,200658
169165,200658
200657,200631
200657,200659
200657,200660
200657,169165
200659,200631
200660,200631
169165,200631
200660,200659
169165,200659
200660,169165
200661,200662
200663,200662
200664,200662
200661,200663
200664,200661
200664,200663
200665,200666
200665,200667
200574,200665
200668,200665
200665,200669
200667,200666
200574,200666
200668,200666
200666,200669
200574,200667
200668,200667
200667,200669
200668,200574
200574,200669
200668,200669
200670,200618
147519,200618
200664,200618
200597,200618
200671,200618
200670,147519
200664,200670
200670,200597
200671,200670
200664,147519
147519,200597
200671,147519
200664,200597
200664,200671
200671,200597
200672,200673
200672,200674
200672,200675
200672,175252
200672,200676
200672,7810
200672,200638
200673,200674
200673,200675
200673,175252
200673,200676
200673,7810
200673,200638
200675,200674
200674,175252
200676,200674
7810,200674
200638,200674
200675,175252
200675,200676
200675,7810
200675,200638
200676,175252
7810,175252
200638,175252
7810,200676
200638,200676
7810,200638
200677,200678
191320,136394
191320,200644
191320,200679
191320,181555
191320,193527
136394,200644
136394,200679
136394,181555
136394,193527
200644,200679
181555,200644
193527,200644
181555,200679
193527,200679
193527,181555
200680,200681
200682,200681
200633,200681
200683,200681
200684,200681
200685,200681
200591,200681
200682,200680
200680,200633
200680,200683
200684,200680
200680,200685
200680,200591
200682,200633
200682,200683
200684,200682
200682,200685
200682,200591
200683,200633
200684,200633
200685,200633
200591,200633
200684,200683
200683,200685
200683,200591
200684,200685
200684,200591
200591,200685
137298,200686
137298,200687
137298,200688
137298,200689
137298,200654
137298,200660
137298,200690
137298,200691
137298,200692
200687,200686
200688,200686
200689,200686
200654,200686
200660,200686
200690,200686
200691,200686
200692,200686
200687,200688
200687,200689
200687,200654
200660,200687
200687,200690
200691,200687
200692,200687
200688,200689
200688,200654
200660,200688
200688,200690
200691,200688
200692,200688
200689,200654
200660,200689
200690,200689
200691,200689
200692,200689
200660,200654
200690,200654
200691,200654
200692,200654
200660,200690
200691,200660
200692,200660
200691,200690
200692,200690
200691,200692
200693,200694
200693,200695
200695,200694
200696,200697
200698,200697
200699,200697
200700,200697
200696,200698
200696,200699
200700,200696
200698,200699
200700,200698
200700,200699
200701,200702
200701,200703
200701,200704
200705,200701
200703,200702
200702,200704
200705,200702
200703,200704
200705,200703
200705,200704
200706,200707
200706,175252
200708,200706
200706,200709
174788,200706
200707,175252
200708,200707
200707,200709
174788,200707
200708,175252
200709,175252
174788,175252
200708,200709
174788,200708
174788,200709
200672,200710
200711,200710
200712,200710
200713,200710
200710,200714
200574,200710
200676,200710
200671,200710
200672,200711
200712,200672
200672,200713
200672,200714
200672,200574
200672,200676
200672,200671
200712,200711
200711,200713
200711,200714
200574,200711
200711,200676
200711,200671
200712,200713
200712,200714
200712,200574
200712,200676
200712,200671
200713,200714
200574,200713
200713,200676
200671,200713
200574,200714
200676,200714
200671,200714
200574,200676
200574,200671
200671,200676
200715,200716
200715,200608
200716,200608
200717,200718
200717,200719
200717,200720
200717,200721
200717,200674
193527,200717
200718,200719
200720,200718
200721,200718
200718,200674
193527,200718
200720,200719
200721,200719
200674,200719
193527,200719
200720,200721
200720,200674
193527,200720
200721,200674
193527,200721
193527,200674
200722,8371
200723,8371
8371,200689
8371,200724
200725,8371
200723,200722
200722,200689
200722,200724
200722,200725
200723,200689
200723,200724
200723,200725
200689,200724
200725,200689
200725,200724
200726,200633
187534,200726
200726,200727
200726,200692
200726,200728
187534,200633
200727,200633
200692,200633
200728,200633
187534,200727
187534,200692
187534,200728
200692,200727
200727,200728
200692,200728
200729,200730
200729,200731
200732,200729
200683,200729
200729,200733
200729,200654
200729,200734
200735,200729
200736,200729
200731,200730
200732,200730
200683,200730
200733,200730
200654,200730
200734,200730
200735,200730
200736,200730
200732,200731
200683,200731
200731,200733
200731,200654
200731,200734
200735,200731
200736,200731
200732,200683
200732,200733
200732,200654
200732,200734
200732,200735
200736,200732
200683,200733
200683,200654
200683,200734
200683,200735
200736,200683
200654,200733
200734,200733
200735,200733
200736,200733
200734,200654
200735,200654
200736,200654
200735,200734
200736,200734
200736,200735
200737,200738
200738,136023
200738,185032
200738,200739
200737,136023
200737,185032
200737,200739
136023,185032
136023,200739
185032,200739
200740,200741
200740,179679
200740,200742
200740,196504
200705,200740
200740,200743
200741,179679
200742,200741
200741,196504
200705,200741
200743,200741
200742,179679
179679,196504
200705,179679
200743,179679
200742,196504
200705,200742
200743,200742
200705,196504
200743,196504
200705,200743
138242,200744
138242,200745
200746,138242
138242,200747
138242,200748
138242,200597
200745,200744
200746,200744
200747,200744
200748,200744
200597,200744
200746,200745
200745,200747
200745,200748
200745,200597
200746,200747
200746,200748
200746,200597
200748,200747
200597,200747
200597,200748
200574,174766
200574,200706
200574,200709
200574,200749
200574,200750
200574,200714
200574,200751
200574,179269
200574,200752
200574,200753
200706,174766
200709,174766
200749,174766
200750,174766
200714,174766
200751,174766
179269,174766
174766,200752
200753,174766
200706,200709
200749,200706
200750,200706
200706,200714
200751,200706
179269,200706
200706,200752
200753,200706
200749,200709
200750,200709
200714,200709
200751,200709
179269,200709
200709,200752
200753,200709
200749,200750
200749,200714
200749,200751
179269,200749
200749,200752
200753,200749
200750,200714
200750,200751
179269,200750
200750,200752
200753,200750
200751,200714
179269,200714
200714,200752
200753,200714
179269,200751
200751,200752
200753,200751
179269,200752
179269,200753
200753,200752
200754,200755
200754,200756
200754,200757
200754,200758
200756,200755
200757,200755
200755,200758
200756,200757
200756,200758
200757,200758
200759,200760
200717,200759
200759,200761
200759,175252
200759,200585
200717,200760
200760,200761
200760,175252
200585,200760
200717,200761
200717,175252
200717,200585
200761,175252
200585,200761
200585,175252
200762,176370
200763,176370
200762,200763
200683,200721
200721,200764
200721,200765
200683,200764
200683,200765
200764,200765
200689,200766
185032,200689
200689,194525
185032,200766
194525,200766
185032,194525
200767,200768
200736,200767
200767,200769
200736,200768
200769,200768
200736,200769
200770,200771
200770,200772
200770,200773
136023,200770
200770,200774
200772,200771
200773,200771
136023,200771
200774,200771
200773,200772
136023,200772
200774,200772
136023,200773
200773,200774
136023,200774
200775,200776
200775,200777
200775,200778
200775,200779
200775,200780
200775,180732
200775,196504
200775,200781
200775,200782
200775,200783
200776,200777
200778,200776
200776,200779
200780,200776
200776,180732
200776,196504
200776,200781
200782,200776
200783,200776
200778,200777
200777,200779
200780,200777
200777,180732
200777,196504
200777,200781
200782,200777
200783,200777
200778,200779
200778,200780
200778,180732
200778,196504
200778,200781
200782,200778
200783,200778
200780,200779
180732,200779
196504,200779
200779,200781
200782,200779
200783,200779
200780,180732
200780,196504
200780,200781
200782,200780
200783,200780
196504,180732
180732,200781
200782,180732
200783,180732
196504,200781
200782,196504
200783,196504
200782,200781
200783,200781
200783,200782
200784,200785
200784,198837
200786,200784
200784,200787
200788,200784
200784,134787
179269,200784
198837,200785
200786,200785
200787,200785
200788,200785
134787,200785
179269,200785
200786,198837
200787,198837
200788,198837
134787,198837
179269,198837
200786,200787
200788,200786
200786,134787
179269,200786
200788,200787
200787,134787
179269,200787
200788,134787
200788,179269
179269,134787
200704,200789
200585,200789
200585,200704
200790,200791
200791,200792
200791,200761
137759,200791
200574,200791
200790,200792
200790,200761
200790,137759
200790,200574
200761,200792
137759,200792
200574,200792
137759,200761
200574,200761
200574,137759
137298,200754
200754,200793
200754,200631
200754,200794
200754,200795
137298,200793
137298,200631
137298,200794
137298,200795
200793,200631
200793,200794
200793,200795
200794,200631
200795,200631
200794,200795
200796,200797
200721,200797
200683,200797
169907,200797
185032,200797
200763,200797
200798,200797
200796,200721
200796,200683
200796,169907
200796,185032
200796,200763
200796,200798
200683,200721
169907,200721
185032,200721
200763,200721
200721,200798
169907,200683
200683,185032
200763,200683
200683,200798
169907,185032
200763,169907
169907,200798
200763,185032
185032,200798
200763,200798
200799,133380
200800,200799
200801,200799
200799,123157
200799,200768
200800,133380
200801,133380
123157,133380
133380,200768
200801,200800
200800,123157
200800,200768
200801,123157
200801,200768
123157,200768
200802,200803
200804,200803
200805,200803
200806,200803
200591,200803
200807,200803
200802,200804
200802,200805
200802,200806
200591,200802
200807,200802
200804,200805
200804,200806
200591,200804
200807,200804
200805,200806
200591,200805
200807,200805
200591,200806
200807,200806
200807,200591
200808,200718
200809,200808
200737,200808
200808,200810
200808,200811
200812,200808
200813,200808
200808,200780
200808,200814
200807,200808
200809,200718
200737,200718
200810,200718
200811,200718
200812,200718
200813,200718
200780,200718
200718,200814
200807,200718
200737,200809
200809,200810
200809,200811
200812,200809
200813,200809
