Mac1,Mac2,peso
200574,200631,25
200574,202117,22
202117,200631,19
208351,200631,18
200574,208351,17
203345,200631,17
201349,200631,17
200631,200582,16
208775,200631,15
200574,200597,14
185025,200631,14
201167,200631,13
200574,219891,13
200574,206494,12
200597,200631,12
204231,200631,12
175996,200631,12
204231,208351,12
202379,202389,12
204754,208351,12
200574,183360,11
200574,200718,11
180693,219891,11
215254,183360,11
200574,205929,11
203329,200565,11
200597,175252,11
206494,200597,11
200574,201076,11
203064,200898,11
208351,205929,10
200631,134787,10
203838,205428,10
215254,201167,10
180874,200631,10
201076,208351,10
201076,206494,10
200574,177340,10
137964,200718,10
215254,213385,9
200631,175252,9
185025,200574,9
219891,216324,9
201076,200792,9
202117,219891,9
201076,208775,9
200631,204567,9
202117,205929,9
215254,202117,9
156,200631,9
215254,219891,9
200597,208351,9
215254,200631,9
200565,205929,9
200597,200618,9
200574,201167,9
203863,200631,9
201546,200597,9
208775,208351,9
206494,204231,9
215254,200574,9
211240,208351,9
133766,203752,9
200808,200810,8
201546,200631,8
213385,204567,8
206494,202117,8
200631,205929,8
201167,219891,8
201076,203345,8
200574,203345,8
206494,200631,8
201076,201349,8
203345,200718,8
201076,204231,8
221268,183360,8
201641,208351,8
211517,208351,8
200574,204231,8
200580,203345,8
200574,200565,8
204167,201076,8
203734,200631,8
215254,208351,8
201718,200631,8
202117,200718,8
201076,200631,8
180874,204231,8
200631,201298,8
200574,204754,8
210362,200631,8
206494,204754,8
200597,203345,8
200565,200792,8
185025,156,7
193794,208351,7
201349,204231,7
201546,200876,7
202117,183360,7
200574,212501,7
200574,212077,7
201167,208351,7
208351,200922,7
200574,180215,7
219891,200631,7
208351,203345,7
200574,198145,7
200574,200580,7
200574,200792,7
206494,203345,7
200574,200922,7
206494,201279,7
202117,198145,7
213547,208351,7
185025,221268,7
200597,200718,7
200631,200922,7
203329,200631,7
200597,205929,7
183360,200718,7
203329,200597,7
204167,203345,7
219304,201076,7
201349,200582,7
169398,175812,7
177340,200631,7
205929,200582,7
200631,202579,7
180693,200631,7
203345,203734,7
207732,213385,7
204167,200631,7
201279,202117,7
204231,203345,7
200580,200582,7
215254,180693,7
185025,219891,7
201349,134787,7
177340,203345,7
200631,169904,7
222807,221268,6
220270,219891,6
200574,205766,6
206895,213385,6
206494,208351,6
180693,221268,6
200574,204567,6
201349,200718,6
185025,208351,6
200574,204167,6
200597,202579,6
137759,201076,6
202767,208351,6
200597,200565,6
206494,200792,6
204754,203345,6
185025,215480,6
203064,208351,6
174922,219891,6
204755,200631,6
185025,201394,6
215254,201279,6
185025,202117,6
203199,208351,6
200876,200565,6
220956,211790,6
213385,208351,6
185025,169904,6
213385,202117,6
200574,201583,6
180693,208351,6
204231,202117,6
180693,205766,6
203474,206494,6
204231,200718,6
213385,219891,6
213385,198145,6
180874,200597,6
180693,183360,6
137759,213385,6
202063,200631,6
219891,201298,6
202117,203734,6
207112,204567,6
208775,202117,6
177340,200597,6
211790,208351,6
211362,200631,6
180693,221173,6
180874,208351,6
200574,207112,6
169766,200597,6
210362,219891,6
207112,205929,6
201076,213385,6
203345,202866,6
183360,200631,6
201076,177340,6
221268,223344,6
213547,219891,6
181555,200718,6
210362,202117,6
191320,200574,6
203345,205929,6
203345,205766,6
198145,200565,6
200574,137759,6
174922,200631,6
204030,178434,6
201076,200597,6
208351,200718,6
203329,203418,6
200701,208351,6
174922,204567,6
208351,200599,6
200574,201263,6
201144,200574,6
197210,203886,6
203345,175252,6
201076,202117,6
180693,175996,5
215480,210136,5
173388,204567,5
204231,200597,5
202765,171285,5
211517,204567,5
183360,200582,5
201279,219891,5
203329,201076,5
203752,208351,5
200631,200792,5
204231,183360,5
200631,200718,5
201718,200574,5
200991,208351,5
213385,183443,5
200631,175812,5
221173,211790,5
185025,183360,5
137964,200574,5
213778,183443,5
201011,200574,5
224777,224784,5
175996,204231,5
213385,212077,5
208351,198145,5
181555,134787,5
200574,169904,5
135133,217711,5
185025,134787,5
203882,200631,5
221173,180215,5
201076,204755,5
185025,192487,5
181555,200631,5
215254,221173,5
185025,173791,5
213385,203345,5
208351,175974,5
204350,219891,5
219687,180215,5
203375,202117,5
201144,204567,5
213385,200631,5
200631,202866,5
137964,202117,5
177340,200718,5
215254,212077,5
204167,211790,5
207732,201076,5
180215,219891,5
210362,200922,5
200580,204167,5
200580,204231,5
222807,219891,5
200597,204567,5
185025,207732,5
156,169904,5
201718,203345,5
201224,219687,5
185025,211517,5
200574,156,5
200963,200631,5
221268,219891,5
210719,204231,5
185025,215254,5
203345,201145,5
203345,200792,5
221268,180215,5
221268,208351,5
203065,200597,5
46493,208351,5
203065,200718,5
185025,204231,5
200972,200631,5
210362,203345,5
204167,205929,5
215254,210719,5
185025,201167,5
200991,200631,5
215254,209096,5
203995,219891,5
201394,202117,5
181555,208351,5
181555,212077,5
177340,202117,5
210362,205929,5
203995,216201,5
211790,200718,5
177340,205929,5
201144,200631,5
204167,202117,5
192487,208351,5
200718,205766,5
210362,204567,5
210362,204231,5
206762,205929,5
215254,181555,5
201718,201076,5
215254,180215,5
200574,175974,5
203329,177340,5
182727,181555,5
204754,209096,5
174922,200574,5
201076,200718,5
191320,200631,5
206494,201145,5
184535,200631,5
201167,202117,5
207112,200631,5
219891,204567,5
208351,202117,5
206494,213385,5
217471,183360,5
200701,200599,5
208702,201076,5
221586,205929,5
200574,203186,5
142897,161696,5
219891,183360,5
201167,201349,5
203863,205929,5
200574,203033,5
175586,204167,5
180874,215254,5
201145,200582,5
191320,169398,5
206494,207791,5
202579,175252,5
200574,200599,5
201167,183360,5
200574,200585,5
200574,197210,5
206494,203752,5
201394,200574,5
201349,208351,5
201167,200718,5
201583,220270,5
200574,200898,5
201076,200582,5
212713,206494,5
201167,204567,5
200574,203418,5
173388,200574,5
156,208351,5
200574,201298,5
202765,200631,5
200574,211240,5
203474,208351,5
219261,180693,5
211338,200574,5
204231,219891,5
211336,213385,5
203418,208351,5
201151,201298,5
201167,208775,5
201263,201279,5
200963,177340,4
221268,200898,4
206895,201076,4
203863,202117,4
200950,200574,4
200574,200837,4
203713,203707,4
215254,175996,4
207732,180693,4
200574,201737,4
182507,200718,4
201076,178441,4
213549,201076,4
202117,207791,4
185025,210719,4
207732,200792,4
201167,156,4
200574,200876,4
201641,200597,4
200574,201641,4
201144,180693,4
201144,181555,4
206895,200718,4
201349,201546,4
209143,202117,4
200574,200646,4
210362,204167,4
215254,198145,4
204755,204567,4
203734,202579,4
201076,169904,4
200574,201539,4
203863,200718,4
200574,201556,4
204167,204754,4
203033,204755,4
203734,175252,4
201349,177340,4
203045,202579,4
180215,200631,4
209143,200898,4
205193,200631,4
218999,201349,4
210719,200631,4
210362,200574,4
200565,200618,4
205741,219891,4
200963,134787,4
212100,183360,4
201224,180215,4
210362,185025,4
184219,184544,4
221268,204231,4
203863,207791,4
180215,202117,4
201076,175974,4
200574,202579,4
209006,200718,4
207504,200574,4
200574,201000,4
200574,201200,4
185025,210136,4
207358,211859,4
207504,205929,4
210719,204567,4
207732,201349,4
200580,206494,4
204167,208775,4
201205,200597,4
200569,200631,4
200569,200597,4
213549,219891,4
200574,203064,4
201760,205929,4
200574,201234,4
198145,219891,4
207732,202117,4
213547,200574,4
204064,200574,4
221173,200718,4
218888,201076,4
200574,178441,4
215254,221268,4
213385,205929,4
213547,204567,4
181555,200599,4
201349,206494,4
217471,201167,4
221173,200631,4
180874,201394,4
180874,200565,4
210362,213385,4
202117,201256,4
202765,175252,4
180874,202117,4
212501,200631,4
210362,213050,4
200574,180418,4
200574,180433,4
213547,180215,4
201167,208210,4
201144,208351,4
201145,200631,4
213547,200565,4
219261,219891,4
209096,210136,4
201349,204567,4
200574,213385,4
200574,175812,4
208488,209213,4
200574,175252,4
201570,200565,4
201641,212077,4
213385,210136,4
213547,202117,4
210362,215254,4
201076,203418,4
215254,224777,4
213385,219687,4
215254,224185,4
207246,206668,4
202117,200565,4
180874,183360,4
180693,221202,4
221173,208351,4
202063,200792,4
185025,193368,4
185025,201546,4
201076,198145,4
181555,206494,4
223801,221268,4
208028,200631,4
185025,201349,4
201144,201167,4
204167,200599,4
219261,212077,4
200574,200618,4
211790,200923,4
185025,194702,4
202063,204754,4
201144,200837,4
210023,211790,4
215254,204567,4
180433,206494,4
201167,169904,4
210362,204754,4
180874,213385,4
203863,183360,4
221173,221268,4
200574,207791,4
200574,192466,4
185025,201076,4
