sitio_id,nombre,siglas,ruc,ciudad,nombre_ubicacion,contacto,direccion,email,telefono,celular,estado,color_fondo,transparencia,longitud,latitud,ip,puerto,fecha,usuario_modif,bienvenida,formulario,router
1,ALBAN BORJA,ALBAN BORJ,920124541001,Guayaquil,Guayaquil,Fabricio Matamoros,Av. Carlos Julio Arosemena,administracion@albanborja.com,923154211,,1,,0,-2.168677,-79.916769,186.3.137.95,,2016-09-19 13:28:32,fmatamoros,0,0,Mikrotik
2,VILLAGE PLAZA,VILLA,0,Guayaquil,Guayaquil,Gabriela,SAMBORONDON,,,,0,,0,-2.140406,-79.866376,186.3.144.18,,2016-07-20 17:23:50,fmatamoros,0,0,
3,CITY MALL,CITY M.,0,Guayaquil,Guayaquil,Gabriela,Alborada,,,,0,,0,-2.1409511,-79.9117737,186.3.153.140,,2015-12-22 10:21:54,fmatamoros,0,0,
4,MALL DEL SUR,MALL DEL S,0,Guayaquil,,Gabriela,Sur,mtorres@seruvi.com,04 3068130,,0,,0,-2.2291765,-79.9006596,181.39.198.134,,2015-12-23 16:03:23,charvel.chedraui,0,0,
5,XS DISCO,XS,0,Guayaquil,Guayaquil,Fabricio Matamoros,Victor E. Estrada 819 e Higueras,nd,nd,0,0,,0,-2.166894,-79.9137037,186.3.137.86,,2015-12-16 16:59:55,charvel.chedraui,0,0,
6,POOL DISCO,POOL,0,Guayaquil,,Fabricio Matamoros,"Urdesa Central, Av. Victor Emilio Estrada # 1214 y Laureles",ND,ND,0,0,,0,-2.166894,-79.9137037,186.3.137.87,,2015-12-16 16:59:59,charvel.chedraui,0,0,
7,AURA DISCO,AURA,0,Quito,,Fabricio Matamoros,Quito,fmatamoros@gmail.com,0,,0,,0,-0.2623253144,-78.538940229,186.4.222.87,,2016-03-15 17:34:08,fmatamoros,0,0,
8,VOGA DISCO,VOGA,0,Quito,,Fabricio Matamoros,Quito,fmatamoros@gmail.com,0,,0,,0,-0.1706758,-78.4816445,186.4.189.118,,2015-12-16 17:00:05,charvel.chedraui,0,0,
9,RAYUELA DISCO,RAYU.,0,Guayaquil,,Fabricio Matamoros,"Las Peñas, Calle Numa Ponpilio LLona",fmatamoros@gmail.com,987209378,987209378,0,,0,-2.183633,-79.875374,190.154.42.202,,2015-12-16 17:00:09,charvel.chedraui,0,0,
10,GIA DISCO,GIA DISCO,0,Guayaquil,,,CC La Piazza Sambo - Local 7C,fmatamoros123@gmail.com,998782018,998782018,0,,0,-2.166894,-79.9137037,181.39.238.92,,2015-12-16 17:00:12,charvel.chedraui,0,0,
11,LION DISCO,LION,0,Quito,,,"Veintimilla E9-21 y Leonidas Plaza, Sector El Giron Quito",,02-2553513,,0,,0,-0.1706758,-78.4816445,186.4.240.86,,2015-08-11 18:47:07,charvel.chedraui,0,0,
12,ROLINGS DISCO,ROLINGS,0,Guayaquil,,AWA,Circunvalación Sur 110 y Victor Emilio Estrada,nd,998782018,998782018,0,,0,-2.176079,-79.905399,186.3.138.213,,2015-12-16 17:00:16,charvel.chedraui,0,0,
13,PARTY ROCK DISCO,PARTY,0,Quito,,AWA,Calle De Los Rosales y Avenida Rio Coca,jeffersonmanager@partyrock.com.ec,995404006,995404006,0,,0,-0.1706758,-78.4816445,186.4.213.113,,2015-06-02 14:17:06,charvel.chedraui,0,0,
14,VAN GOGH DISCO,VAN GOGH D,0,Quito,,AWA,Iñaquito N37-268 y Villalengua,fmatamoros123@gmail.com,121321,,0,,0,-0.1706758,-78.4816445,186.4.224.220,,2015-12-16 17:00:20,charvel.chedraui,0,0,
15,KONG DISCO,KONG,0,Quito,,AWA,República y Pradera,,,,0,,0,-0.1930049357,-78.4854023638,186.101.152.216,,2015-12-16 17:00:23,charvel.chedraui,0,0,
16,ÁRTICA CLUB,ARTIC,0,Quito,,AWA,Av. Cardenal de la Torre y Av. Ajavi,,,,0,,0,-0.1706758,-78.4816445,186.4.209.121,,2015-12-16 17:00:27,charvel.chedraui,0,0,
